name,address,city,state,source_url
Dine College,"Route 12, One Circle Drive",Tsaile,AZ,https://databayou.com/usofa/colleges.html
Northern Arizona University,"1900 S. Knoles Dr, Babbitt Administrative Center, Room 200",Flagstaff,AZ,https://databayou.com/usofa/colleges.html
Northland Pioneer College,2251 E. Navajo Blvd.,Holbrook,AZ,https://databayou.com/usofa/colleges.html
Ottawa University-Phoenix,9414 North 25th Avenue,Phoenix,AZ,https://databayou.com/usofa/colleges.html
Phoenix College,1202 W Thomas Rd,Phoenix,AZ,https://databayou.com/usofa/colleges.html
Cortiva Institute-Scottsdale,8010 East McDowell Road #214,Scottsdale,AZ,https://databayou.com/usofa/colleges.html
Pima Community College,4905C East  Broadway Blvd.,Tucson,AZ,https://databayou.com/usofa/colleges.html
Pima Medical Institute-Tucson,"3350 East Grant Road, Suite 200",Tucson,AZ,https://databayou.com/usofa/colleges.html
Pima Medical Institute-Albuquerque,4400 Cutler Avenue NE,Albuquerque,NM,https://databayou.com/usofa/colleges.html
Prescott College,220 Grove Ave,Prescott,AZ,https://databayou.com/usofa/colleges.html
Refrigeration School Inc,4210 E Washington Street,Phoenix,AZ,https://databayou.com/usofa/colleges.html
Rio Salado College,2323 W 14th St,Tempe,AZ,https://databayou.com/usofa/colleges.html
Roberto-Venn School of Luthiery,1012 NW Grand Ave,Phoenix,AZ,https://databayou.com/usofa/colleges.html
Hair Academy of Safford,1550 West Thatcher Blvd,Safford,AZ,https://databayou.com/usofa/colleges.html
Scottsdale Community College,9000 E Chaparral Rd,Scottsdale,AZ,https://databayou.com/usofa/colleges.html
South Mountain Community College,7050 S 24th St,Phoenix,AZ,https://databayou.com/usofa/colleges.html
Arizona Christian University,2625 E Cactus Rd,Phoenix,AZ,https://databayou.com/usofa/colleges.html
Tucson College,"5151 E Broadway Blvd, Ste.155",Tucson,AZ,https://databayou.com/usofa/colleges.html
Universal Technical Institute of Arizona Inc,10695 West Pierce Street,Avondale,AZ,https://databayou.com/usofa/colleges.html
Western International University,1601 W Fountainhead Parkway,Tempe,AZ,https://databayou.com/usofa/colleges.html
Empire Beauty School-NW Phoenix,2727 W. Glendale Ave. #200,Phoenix,AZ,https://databayou.com/usofa/colleges.html
